Esercizio Finanziario;Codice Tipologia Soggetto;Descrizione Tipologia Soggetto;Codice BDAP;Denominazione Soggetto;CF Soggetto;Data Cessazione Soggetto;Codice Zona Geografica;Descrizione Zona Geografica;Codice Regione;Descrizione Regione;Codice Provincia;Descrizione Provincia;Codice Comune;Descrizione Comune;Codice Missione;Descrizione Missione;Residui Passivi Iniziali;Previsioni Definitive di Competenza;Previsioni Definitive di Cassa;Pagamenti C/Residuo;Pagamenti C/Competenza;Totale Pagamenti;Riaccertamenti Residui;Impegni;Fondo Puriennale Vincolato;Economie C/Competenza;Residui Passivi da Esercizi Precedenti;Residui Passivi da Esercizio di Competenza;Residui Passivi da riportare;Unnamed: 30
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;16;Agricoltura, politiche agroalimentari e pesca;456.56;300.0;530.0;;;;;300.0;;;456.56;300.0;756.56;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;11;Soccorso civile;78707.5;95483.0;141884.63;78707.5;52903.13;131610.63;;86389.2;;9093.8;;33486.07;33486.07;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;6;Politiche giovanili, sport e tempo libero;25693.62;1352466.76;962325.99;16823.32;140767.19;157590.51;-7402.03;1085618.22;;266848.54;1468.27;944851.03;946319.3;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;8;Assetto del territorio ed edilizia abitativa;676513.34;5253178.98;4900479.66;219830.95;815628.75;1035459.7;-17586.63;1309271.5;2153636.93;1790270.55;439095.76;493642.75;932738.51;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;5;Tutela e valorizzazione dei beni e delle attivita' culturali;121537.64;696338.79;760537.04;93133.08;468230.3;561363.38;-3032.56;639862.4;;56476.39;25372.0;171632.1;197004.1;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;1;Servizi istituzionali,  generali e di gestione;5421930.28;28185210.44;25717803.57;1894684.44;7916427.43;9811111.87;-1173715.6;10616217.09;14650403.4;2918589.95;2353530.24;2699789.66;5053319.9;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;9;Sviluppo sostenibile e tutela del territorio e dell'ambiente;5557702.8;20522422.4;21583044.56;2887213.95;8553669.54;11440883.49;-1335150.99;10992874.72;5703233.12;3826314.56;1335337.86;2439205.18;3774543.04;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;7;Turismo;;55000.0;53417.71;;53417.71;53417.71;;53585.57;;1414.43;;167.86;167.86;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;60;Anticipazioni finanziarie;;10000000.0;7000000.0;;;;;;;10000000.0;;;;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;50;Debito pubblico;193239.57;914506.98;1033628.98;8435.02;860687.98;869123.0;;887192.67;;27314.31;184804.55;26504.69;211309.24;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;12;Diritti sociali, politiche sociali e famiglia;7480929.63;13634011.95;16090169.15;4224228.78;5916703.19;10140931.97;-193832.93;9573490.02;1426788.78;2633733.15;3062867.92;3656786.83;6719654.75;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;10;Trasporti e diritto alla mobilita';1884408.24;6671836.01;6458214.07;1363191.17;2087569.11;3450760.28;-59001.95;2486084.53;2865832.73;1319918.75;462215.12;398515.42;860730.54;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;4;Istruzione e diritto allo studio;4248193.45;3935653.1;6314189.64;1053334.4;2879188.85;3932523.25;-198879.46;3772524.13;138648.59;24480.38;2995979.59;893335.28;3889314.87;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;18;Relazioni con le altre autonomie territoriali e locali;;2000.0;1400.0;;;;;;;2000.0;;;;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;14;Sviluppo economico e competitivita';46618.68;868727.63;699814.45;45102.15;300106.84;345208.99;-20.47;332394.31;524121.72;12211.6;1496.06;32287.47;33783.53;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;20;Fondi e accantonamenti;;3154550.77;;;;;;;;3154550.77;;;;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;99;Servizi per conto terzi;1227902.43;28250000.0;21086882.23;264457.08;4345846.46;4610303.54;-899721.22;4947579.12;;23302420.88;63724.13;601732.66;665456.79;
2023;ELCOMU;COMUNI;803742930445520301;COMUNE DI MONTEROTONDO;80140110588.0;;3;CENTRO;12;LAZIO;58;ROMA;65;MONTEROTONDO;3;Ordine pubblico e sicurezza;319407.52;1709691.75;1742284.85;212736.83;1366216.18;1578953.01;-38220.38;1679611.82;25114.93;4965.0;68450.31;313395.64;381845.95;
